user_id,savings_id,savings_product_views,savings_applied
5383,37,3,1
368,29,1,1
11377,66,6,0
10864,17,4,1
11525,50,2,0
3186,36,6,1
17654,91,3,0
14569,83,3,0
7902,56,2,1
10185,83,4,1
7069,45,5,1
7097,80,3,0
11249,74,3,1
12672,73,3,0
11238,28,1,0
8817,86,2,1
16654,48,3,0
3169,13,1,1
18737,75,3,1
2693,24,6,0
11348,100,6,0
6779,67,5,1
4016,35,2,1
11308,42,6,1
17890,45,3,1
11623,37,5,1
3790,59,1,0
13556,29,2,0
19199,91,5,1
882,36,2,1
6437,4,2,1
4446,12,1,1
4291,64,4,1
16253,69,5,0
2485,23,1,0
16349,82,2,1
17017,74,4,0
16657,35,1,1
213,42,6,0
16145,96,2,1
19422,93,1,1
3293,95,4,1
9716,63,2,0
3032,25,8,1
2855,27,3,0
16800,8,5,0
9368,3,2,0
13004,85,1,1
18486,2,2,1
14859,71,6,0
12422,50,4,1
18557,5,4,1
6348,61,6,1
10957,23,1,1
17394,83,2,1
19016,81,1,1
9409,45,3,0
17060,68,2,1
4590,51,1,1
4101,7,1,1
6145,63,1,1
3706,63,3,0
1472,66,1,0
9177,78,3,1
17504,53,1,1
2462,49,1,1
7101,77,1,1
15898,34,4,0
9573,92,2,1
6633,20,3,1
601,60,3,1
17810,60,5,0
3160,4,2,1
70,22,2,1
6692,46,5,0
6849,1,1,1
3511,88,2,1
8321,66,1,1
736,35,2,1
958,68,1,1
17005,23,3,1
17425,4,5,1
1327,36,3,1
10169,45,1,0
12356,55,2,1
4065,17,1,1
15292,57,3,1
12953,54,2,1
12633,100,3,1
18745,78,2,1
7354,27,2,1
19488,82,4,0
10126,79,4,1
19724,38,2,1
15390,74,1,0
9804,33,3,0
11697,67,5,0
17389,62,1,0
2372,52,2,1
2334,68,2,1
7874,10,1,1
13289,43,3,0
12403,22,1,1
11507,6,4,1
531,36,4,1
13064,40,4,0
9867,87,1,1
14449,39,5,1
9134,71,2,1
10145,91,4,0
12585,47,1,0
1262,82,3,1
1680,86,2,1
7901,93,2,1
11356,28,6,1
10577,7,2,1
15932,3,1,1
11615,80,3,1
10145,75,3,0
11158,74,3,1
16488,15,3,0
14451,63,1,1
16693,19,4,1
9388,94,5,0
16145,68,1,1
13431,8,4,1
8670,4,1,1
15382,8,3,1
15673,2,1,1
19575,28,5,1
17819,91,5,1
16356,39,5,1
9688,37,4,0
6706,86,4,1
918,8,6,0
15737,49,5,0
3239,51,2,1
10898,54,2,0
16050,35,4,1
7695,22,7,1
14806,59,3,0
4519,11,4,1
5465,11,3,1
1239,66,5,1
5217,44,2,1
411,4,5,1
9884,75,1,0
5425,89,1,1
5424,67,3,1
12675,86,2,1
15752,11,4,1
11141,28,3,1
18602,37,3,0
9556,11,3,1
1751,3,2,0
6305,91,2,1
15372,54,2,0
15989,5,1,1
3617,69,5,1
6250,77,4,0
4139,39,3,1
16101,2,3,1
2555,42,2,1
13295,24,5,1
19987,42,7,1
9197,2,5,0
9928,58,6,0
10249,7,3,0
1821,64,3,1
7003,35,5,0
8106,9,1,1
3628,33,1,1
18172,62,4,1
17652,45,1,1
12908,2,4,0
14498,57,3,0
125,25,1,0
16214,28,5,1
2137,93,3,0
16149,26,1,1
3182,34,1,1
4017,14,3,1
12302,95,2,1
837,56,1,0
12503,96,5,1
11424,58,3,1
14238,7,1,1
7597,97,3,1
783,69,1,1
5642,16,3,1
4386,9,4,0
15114,46,4,0
6739,93,1,0
3337,34,3,0
625,54,5,1
926,47,4,1
6109,35,1,1
16683,39,1,1
4130,66,2,1
19213,76,6,0
12038,29,1,0
11550,74,1,1
11360,32,5,0
7055,31,4,0
15316,29,1,0
17533,29,4,1
17106,14,2,1
18917,22,1,1
15238,5,4,0
15784,92,4,1
3424,65,4,1
16217,70,3,0
7074,53,1,1
4803,99,6,0
2771,96,5,0
11514,52,8,1
5445,4,1,0
18589,62,4,0
308,25,2,0
1895,56,1,0
10341,82,5,0
11676,91,1,1
13292,69,3,0
7891,44,1,1
4886,38,1,1
491,16,4,0
15514,83,2,1
4921,33,4,1
12252,27,2,1
5427,17,3,1
16527,26,1,0
14294,94,2,0
5338,79,3,1
18421,26,4,0
3978,11,1,0
16831,6,1,1
14122,70,6,0
12828,81,1,0
15351,31,1,1
17677,62,5,1
853,97,2,0
1342,49,2,1
162,44,6,0
19699,33,3,0
11932,72,3,1
14418,30,6,1
6137,39,1,1
6391,94,5,0
11827,73,1,0
12420,68,2,1
5897,57,1,0
61,21,2,1
8788,100,5,1
234,55,3,0
13117,15,5,0
9810,6,1,1
2283,2,1,0
19624,57,1,1
8798,16,2,0
3314,65,3,1
5566,12,1,1
7151,65,5,1
16295,72,2,1
19794,33,3,1
14994,98,4,1
10959,49,3,0
19974,70,5,1
7526,56,5,0
2722,94,5,0
17528,10,2,1
11667,25,1,1
14542,58,3,0
15646,61,3,0
10224,41,4,1
17158,73,1,1
12576,56,4,1
14475,96,3,1
3467,99,3,1
19306,86,3,0
6320,26,4,0
2627,58,6,1
18599,77,4,1
5445,19,5,1
12163,10,1,1
2501,49,3,0
14508,75,6,0
19554,68,3,1
13230,40,4,1
4754,19,5,1
8800,59,3,1
4268,99,6,1
19995,18,6,0
15455,58,5,1
2691,4,2,1
6576,67,1,1
4540,5,1,0
14287,17,3,0
14051,54,3,1
15156,83,2,1
11234,56,3,1
14197,99,4,0
6560,91,4,1
11877,78,1,0
2860,42,7,1
932,21,1,1
5297,8,1,1
13714,73,1,1
10392,49,3,0
10558,72,5,1
1363,29,1,0
1038,3,2,1
7764,88,2,1
10413,92,6,1
1248,53,8,1
6054,81,9,0
8247,9,4,1
10741,21,3,1
17076,39,2,0
1938,60,2,1
5413,1,2,1
19595,14,3,1
3904,73,2,1
19928,94,1,1
3407,80,1,1
17242,9,3,1
4403,35,3,0
12478,35,1,1
12718,94,5,0
11356,26,4,0
7778,61,1,1
11160,5,2,1
17345,60,5,1
19537,82,6,0
6534,71,5,1
15438,88,4,1
1406,62,5,0
17442,88,3,1
5484,12,2,1
17904,5,1,1
17018,89,6,1
18182,44,6,1
13020,26,3,1
18438,27,1,0
16366,80,4,1
17684,29,1,1
17227,7,5,1
5800,9,4,0
9683,72,3,0
11994,32,5,1
5747,29,7,1
7838,26,4,0
18891,39,4,0
18531,42,2,1
41,19,4,1
10828,15,1,0
5991,50,7,1
4028,74,1,1
11219,68,3,1
12064,85,3,1
3996,85,5,1
14799,43,2,0
359,20,8,0
4942,33,4,1
11528,79,2,1
9376,6,7,1
6528,38,3,0
770,14,1,0
10088,95,5,1
6254,79,6,1
11541,7,1,1
5247,32,7,0
10701,46,1,1
7947,41,3,1
1264,32,1,1
4449,67,1,1
4153,5,1,1
17162,57,5,1
595,27,3,1
6471,68,1,0
10255,51,4,1
7817,25,1,1
18428,4,4,0
4094,12,5,1
9004,23,4,1
3400,64,5,0
12000,73,1,1
3971,62,2,0
1205,93,3,1
3627,69,1,1
4808,78,4,1
19664,78,1,1
6630,14,4,1
18565,62,1,0
240,46,2,1
14667,10,2,1
4733,4,1,1
18294,54,3,1
9157,68,2,1
13745,48,2,1
11383,6,7,1
3691,93,1,1
19443,79,1,1
152,24,8,1
8239,32,4,0
7204,74,4,1
1077,19,3,0
13021,88,2,1
13921,44,3,0
15929,33,6,0
19158,50,1,1
15173,16,4,1
13012,10,6,1
12043,46,2,1
669,8,2,0
18489,100,1,1
6035,76,2,1
7409,86,1,0
2165,64,2,1
15520,71,7,0
5241,74,3,0
6849,13,1,0
4483,30,1,1
11814,59,5,1
13086,86,1,1
1359,87,2,1
13407,73,5,1
15266,43,2,1
19146,18,5,1
16853,32,1,1
14343,61,1,1
13798,83,1,0
15621,13,2,1
422,52,3,1
15660,21,1,0
13131,25,1,1
16154,27,3,0
496,88,1,1
14807,39,6,1
16746,70,4,1
5633,92,4,0
7919,79,2,0
8614,24,1,0
17271,22,3,1
6665,49,2,1
18756,25,2,0
10801,57,4,1
7051,66,2,1
13931,14,2,1
3371,66,2,1
13378,31,3,0
14087,53,1,0
4119,15,4,0
9698,72,3,1
10286,58,4,1
132,2,1,1
9005,80,5,1
9903,29,5,1
19758,56,3,1
19226,50,3,1
4217,79,2,1
11122,59,3,0
10518,41,1,1
1648,97,5,1
15483,54,3,1
3343,100,3,1
1196,84,4,1
10299,76,3,0
10373,72,3,0
5194,54,4,1
10109,32,1,0
5790,44,3,1
5149,27,1,0
8980,96,4,1
12853,67,3,1
11963,100,4,0
12471,78,2,1
5216,39,1,0
15481,17,4,0
1958,79,2,1
16892,1,4,1
11580,4,2,0
4194,67,5,1
1102,72,5,1
19620,51,2,1
5024,97,2,0
4772,90,6,1
806,97,3,1
15785,32,3,0
17346,62,4,1
3520,64,5,1
9272,86,5,0
7003,60,5,1
13723,7,2,0
16164,41,1,1
5955,9,1,0
569,63,2,1
19828,35,5,1
9149,65,1,1
15351,30,3,0
3040,77,1,1
6738,91,3,0
17026,68,4,0
15624,40,1,1
5442,73,1,1
4046,87,6,0
6192,100,4,0
7570,96,1,1
11819,80,6,1
10697,46,3,0
11593,71,5,1
12355,31,2,1
722,9,4,1
18461,20,3,0
13627,24,1,1
12863,32,2,1
4063,67,1,0
250,77,5,1
16773,25,1,1
2511,34,4,1
9932,89,3,1
623,92,2,0
10461,4,3,1
18797,67,1,1
15303,65,2,1
15715,49,2,0
15808,23,4,1
2131,14,1,1
10770,99,1,0
17408,16,4,1
15374,45,3,0
4585,17,2,0
11768,75,6,0
8540,54,3,0
18494,45,5,1
6745,24,1,1
5219,43,2,1
7820,28,4,1
18866,98,1,0
4063,82,7,1
13123,30,1,0
5321,40,1,1
9395,25,4,1
12885,30,3,1
4054,13,1,1
5418,85,1,0
17643,35,1,1
17280,53,2,1
601,18,5,0
18258,42,4,0
11725,20,2,0
13354,55,6,1
16257,98,1,1
19222,24,3,0
4346,28,3,1
15386,47,2,0
11857,36,6,0
16188,85,5,1
11611,90,5,1
3353,19,2,1
15088,92,5,0
3425,24,2,1
14450,99,1,0
18268,96,1,0
8289,27,3,0
12829,66,3,0
1670,17,3,1
13479,73,5,0
12412,69,2,1
1297,74,3,1
15673,56,4,1
6125,43,3,1
648,77,5,1
161,79,2,0
17474,91,2,1
11798,77,2,1
12770,72,5,1
15656,15,2,0
18648,35,7,1
19727,100,6,1
16352,47,1,1
14536,65,1,0
19362,66,4,1
7862,71,4,1
19308,27,4,1
17039,22,5,1
212,11,7,1
4772,96,1,0
10240,59,1,0
14216,25,1,1
6705,2,2,1
10545,65,5,0
3698,34,6,1
3693,21,1,1
5717,48,4,1
10229,69,3,1
17798,18,1,1
17717,58,3,1
7214,88,1,1
19864,91,5,0
8627,30,3,1
12594,61,3,1
11990,28,7,1
17068,46,1,0
4688,100,3,0
1166,2,5,1
15753,86,2,1
5816,91,1,0
18629,47,2,1
11617,14,5,1
11480,32,3,1
7968,91,3,1
9547,72,5,0
7636,88,3,1
7028,14,3,0
3499,24,1,1
3617,100,9,0
18033,80,4,0
3941,89,5,1
2248,47,6,0
183,32,1,1
555,51,1,1
3694,84,1,1
12174,90,1,1
8773,52,1,1
15616,88,5,0
1595,64,4,1
8733,49,1,1
7112,18,6,0
14648,21,5,1
3082,71,7,1
12628,100,3,1
2939,81,1,0
14619,76,3,1
12977,71,2,0
11508,46,4,1
513,62,4,1
19852,45,2,1
2195,62,2,1
3101,95,4,0
16523,91,5,1
10464,91,2,1
10416,94,1,0
11160,33,8,1
14421,46,2,1
19057,68,5,1
3367,59,1,1
9435,99,3,1
18683,16,2,1
17311,63,2,1
19301,29,4,1
3759,27,5,0
1873,47,3,1
1100,69,1,0
2880,51,6,1
16811,72,2,1
13582,52,1,1
14793,50,2,0
15333,58,2,1
1708,1,1,0
3346,95,1,1
6156,58,2,0
279,66,1,1
5529,65,5,0
13847,6,1,1
10529,21,6,1
7087,87,4,1
16482,19,1,1
15539,26,4,1
18182,5,4,0
3914,8,4,1
17273,21,2,0
13896,8,2,0
14197,1,5,1
10183,63,1,0
4136,40,5,0
8137,100,2,1
16776,50,1,0
4428,25,1,0
3423,78,1,1
171,19,1,0
13157,89,3,1
879,15,2,1
14803,84,2,1
350,28,5,1
14240,40,5,1
1254,35,2,0
10163,20,5,1
9506,41,2,1
11160,30,1,1
4823,50,1,0
12112,8,6,0
4273,37,1,1
7191,64,5,0
14845,26,1,1
10006,48,3,0
8364,52,7,1
2238,86,2,1
17515,97,4,1
18477,22,4,0
5917,55,3,1
1865,42,3,1
11054,80,3,0
9314,64,3,0
238,75,1,1
19877,3,4,1
5435,38,4,1
17186,71,1,0
4578,86,3,1
16373,41,3,0
13731,53,5,1
13507,36,9,1
12332,63,6,0
6336,33,2,1
5235,99,6,0
14847,48,5,1
15275,58,4,0
14923,21,1,0
15218,25,2,1
14064,39,4,1
8646,52,8,1
1993,8,3,0
12749,70,4,1
2445,59,1,1
5757,23,2,1
16527,42,3,1
3081,84,3,1
2510,11,2,1
15226,93,2,1
17795,7,4,1
15211,70,3,1
587,63,5,0
5288,78,4,1
18541,3,3,1
1847,15,5,0
2872,79,3,1
7215,34,2,0
4027,98,2,1
11746,42,1,1
14193,13,1,1
16349,49,1,0
16419,13,1,1
12658,13,3,1
13056,4,3,1
19596,69,1,1
9175,8,2,1
9666,15,6,1
11686,51,4,1
14720,5,7,1
9085,97,5,0
6935,99,3,1
8496,72,1,0
1682,48,6,1
1371,52,5,1
14501,74,1,1
16862,63,3,1
17494,68,1,0
15121,79,1,1
1553,42,5,1
14149,62,3,1
11858,26,5,1
2603,31,4,0
6296,28,6,1
19018,51,5,1
14763,14,2,1
13178,93,2,1
1077,18,4,1
19964,85,1,0
3718,66,5,1
14683,33,2,1
8893,88,5,1
9225,65,2,1
4472,77,3,0
14341,96,3,1
5584,23,1,0
7553,99,1,0
15606,84,6,1
308,95,7,1
19550,42,4,1
1907,10,4,1
8691,91,1,0
6504,72,3,1
797,15,1,0
1280,19,7,1
17162,46,3,1
15035,54,1,1
16515,21,3,1
496,70,2,0
9719,61,3,1
4395,100,1,1
13530,1,4,1
4685,67,3,1
14146,92,1,1
15159,13,2,1
7440,71,1,1
5368,97,1,1
995,93,3,1
10114,31,1,1
11927,40,2,0
3937,14,1,1
12851,5,2,1
15493,79,4,1
7024,19,1,1
3639,29,1,1
7155,6,6,0
7483,50,3,1
18934,63,2,1
7582,29,2,0
19269,3,5,1
15714,45,3,1
15358,91,3,1
9891,71,1,1
18089,84,5,0
7462,37,2,1
15848,99,4,0
7005,50,2,1
7850,14,5,1
19215,17,5,0
16535,35,2,0
5592,82,7,0
1076,12,2,1
534,67,3,1
9955,66,1,1
2903,30,1,0
6204,44,6,0
14694,83,1,1
7966,53,4,1
19668,7,1,1
10196,50,3,1
3607,74,2,1
6188,92,4,1
16376,39,4,1
17787,42,1,1
1283,97,4,1
3153,18,2,1
9770,93,3,1
17677,45,4,0
4301,18,6,1
1755,100,5,1
14495,35,2,1
16341,21,5,1
13820,10,1,1
6420,8,8,1
18558,80,5,0
3109,31,5,0
18149,9,5,1
9393,81,1,1
12068,12,5,1
14122,9,4,0
14316,54,4,1
16130,46,6,1
19021,56,3,0
5034,78,1,1
7049,99,3,1
7839,88,4,1
14013,44,5,1
14342,84,1,1
15743,9,2,0
18788,96,4,0
3068,99,2,0
9634,59,2,1
620,85,4,0
18387,16,6,0
10076,5,1,0
18404,66,4,1
14171,36,5,1
6262,76,3,0
5189,25,1,1
19009,7,2,1
8315,39,2,1
9717,92,1,0
18494,3,1,1
12381,6,3,1
4268,11,2,0
15348,32,2,1
17957,77,3,0
7616,57,5,1
14681,31,2,1
6108,58,1,0
16699,18,4,0
1546,61,1,1
14448,95,6,0
18145,55,4,1
17396,36,2,1
13036,41,6,0
12576,27,2,1
5118,78,5,0
6329,95,2,1
3598,46,6,1
19307,78,1,1
14494,58,2,1
12696,11,1,0
14300,39,2,0
5114,40,4,0
3582,91,5,1
1501,9,3,0
5087,81,5,1
14382,58,1,1
10909,52,5,1
18862,78,4,1
12683,27,4,1
11294,44,1,1
14170,19,2,1
19367,96,5,0
15772,31,3,0
2785,5,4,1
16921,45,1,1
15787,42,6,1
18338,77,3,0
8100,16,1,0
6694,1,5,1
2748,96,2,1
9372,20,8,1
12042,24,4,1
15048,99,1,1
9013,5,3,0
7920,30,4,1
16740,64,2,0
1651,44,3,1
14899,28,3,1
626,26,4,1
9320,73,4,1
19578,38,3,0
15546,62,1,1
18834,67,2,1
19349,80,5,1
18906,16,1,1
13310,49,7,1
18021,88,1,1
1607,57,1,1
16114,1,2,1
16287,85,1,0
14347,39,1,1
6515,28,1,0
2930,53,2,1
2449,74,4,1
19048,100,2,0
19067,49,5,1
18504,45,4,0
18285,74,4,0
6820,17,2,0
18939,53,1,0
14826,63,2,1
10739,41,6,0
1573,6,2,1
4085,11,1,1
8238,86,5,1
4471,10,2,1
17760,100,4,0
16205,81,4,0
5857,78,1,1
4215,47,5,1
17474,93,5,1
14251,46,3,1
1382,82,1,0
12243,44,2,1
6071,18,3,1
6068,53,3,1
10718,54,1,0
5356,65,2,1
15331,39,3,0
10675,96,2,1
6087,67,2,1
16387,67,5,0
9532,79,2,0
4163,8,6,0
1402,92,1,1
406,96,3,1
18343,53,1,0
1407,51,3,1
16929,40,2,1
6909,72,5,0
11728,37,1,1
555,47,5,1
12977,62,4,1
10804,4,2,0
16393,93,1,0
3143,37,2,1
14886,66,3,0
11723,72,4,1
9192,95,2,1
9966,46,1,1
5858,80,9,1
15568,61,1,1
14779,46,5,1
2057,62,1,0
16557,81,1,0
9397,11,3,0
11162,9,3,1
4369,14,5,1
711,25,4,1
9071,87,5,1
16153,86,1,0
14260,69,6,0
18754,64,5,1
7477,7,4,0
16719,39,3,1
8338,7,1,1
10898,72,6,0
8332,95,3,0
5770,100,3,1
1162,28,4,1
19565,34,3,0
17701,16,7,1
19045,29,3,1
3242,73,4,1
16443,19,7,0
17589,64,6,0
2833,90,1,0
14816,84,3,1
11731,37,3,1
15221,67,1,1
15955,59,1,1
17794,83,1,1
1543,81,6,0
10997,59,1,1
13288,87,5,0
14494,74,5,0
8537,12,3,1
10688,3,7,1
18791,85,1,1
16719,3,3,1
17283,10,5,1
18040,44,3,0
1124,97,3,0
1634,61,5,1
13867,6,1,1
4746,84,4,0
5836,96,2,1
16954,46,4,1
11148,23,4,1
4372,42,3,1
14551,28,4,1
18645,76,2,1
7681,7,2,0
12350,45,1,1
6016,4,1,0
17303,16,1,1
1143,31,2,0
4748,38,1,1
1440,93,5,1
13957,16,2,1
7158,96,1,1
19132,48,2,1
14295,13,4,1
19034,41,4,0
14389,38,1,0
3291,28,3,1
9802,62,3,1
3872,16,5,0
19462,3,2,1
6909,82,4,0
17247,100,4,1
17398,78,8,0
6860,47,4,1
11844,98,5,0
7670,52,1,1
15524,60,3,0
16109,38,1,0
10856,47,1,1
10679,31,6,0
577,16,2,1
201,58,4,0
4137,87,1,0
11892,14,1,0
17477,9,5,0
14633,9,2,1
15403,31,1,0
13573,44,7,0
174,65,2,1
8476,66,3,0
8219,10,2,0
3547,94,1,0
11363,99,1,0
12999,51,4,1
19235,15,1,1
1272,46,1,1
14854,27,3,1
10090,90,4,0
6644,5,4,1
19181,71,3,0
15056,58,6,0
15489,35,1,1
3926,4,4,1
19445,28,4,0
16907,42,1,1
10919,74,1,1
8761,18,3,0
17487,96,1,1
10929,60,3,1
8854,75,4,1
4063,79,1,1
1449,91,4,0
11590,14,6,1
19281,78,1,1
808,83,4,0
18570,79,2,0
11685,15,2,1
370,37,1,0
17155,6,3,1
9410,70,1,1
9570,62,5,1
15207,38,4,1
17828,98,4,0
4065,45,1,1
11903,90,2,1
739,64,6,1
5520,45,2,0
167,1,1,1
8718,43,2,0
4039,67,3,1
9389,99,4,1
6083,87,1,0
11799,30,4,1
3759,26,5,0
15311,92,5,1
7577,56,1,1
6392,55,3,0
2544,55,2,1
9986,5,1,1
16546,69,1,1
3010,20,6,1
5269,70,3,1
17764,25,6,1
17908,55,3,1
15112,87,1,0
8981,47,2,1
15244,64,3,0
11142,85,4,0
19813,49,2,0
18836,95,4,1
5582,92,2,1
16213,25,3,1
13804,57,2,1
7041,73,5,1
7892,7,1,0
5919,75,2,1
16520,61,8,0
19239,91,4,0
10818,33,4,0
1748,89,1,1
12867,8,6,0
18301,23,3,1
15789,65,5,1
10952,98,2,1
4281,95,2,1
2320,70,4,1
3250,37,4,0
4917,53,2,1
7373,77,1,0
8121,95,2,0
19708,68,5,1
17240,27,3,1
18699,38,4,1
15627,16,1,1
16109,2,5,1
5995,60,1,1
4008,41,3,1
5572,32,5,1
19082,91,2,0
8262,100,3,0
16079,91,4,1
2241,54,6,0
3751,22,2,0
1239,78,4,1
6290,94,1,1
13813,27,4,0
4310,72,6,1
10087,4,4,1
16518,39,1,0
8826,99,4,1
8068,5,7,1
11884,85,2,1
13833,99,2,0
110,3,2,1
7380,70,2,0
19738,35,1,0
9066,35,7,1
2063,51,2,1
19511,87,2,1
18410,84,2,0
16032,29,2,0
4199,41,2,1
10002,96,1,1
14499,3,2,0
7876,93,6,0
15399,96,1,1
12703,60,2,1
13248,76,4,0
13676,3,5,1
19339,27,3,1
10022,24,5,0
16985,92,2,0
4559,77,4,0
3842,31,2,1
9756,37,4,1
4775,80,1,1
7962,48,1,1
7874,13,2,0
13396,84,2,1
624,50,4,1
8171,22,6,0
3352,93,3,1
17061,16,4,0
1087,89,4,0
16784,65,4,1
8862,59,2,0
1526,18,6,1
7924,93,2,1
19064,9,7,1
3555,52,1,1
17366,4,2,0
9712,95,4,1
7432,61,2,1
14623,22,2,1
10050,49,1,1
3622,54,5,1
47,45,4,1
15900,40,1,1
13952,90,2,0
9725,22,1,1
19739,70,5,1
996,93,2,1
2796,35,3,0
2709,9,4,1
2804,25,1,1
2968,77,6,1
10629,19,4,1
9497,49,6,1
14492,76,8,1
16453,100,3,0
10690,2,4,1
13596,26,1,0
19784,92,3,0
13898,4,6,1
14051,76,7,1
3051,20,5,1
17392,74,4,1
3501,100,3,1
11623,24,6,0
12523,83,1,0
1948,73,3,1
8689,14,1,1
5679,62,3,1
9271,61,2,1
15208,78,1,1
628,58,2,1
2669,78,2,0
19705,82,1,1
1531,31,2,1
15839,72,3,1
7443,58,5,1
11482,73,1,0
4229,71,2,0
10965,49,4,1
15439,20,1,0
10625,81,1,1
17805,95,5,0
14322,87,1,0
711,16,4,1
12890,62,1,0
19329,40,5,0
12588,89,7,0
10197,64,3,1
19436,11,5,1
16352,45,4,0
10516,60,1,1
16181,14,1,1
556,22,2,0
16365,16,6,1
951,52,2,0
3435,38,3,0
16032,89,3,0
13418,52,2,0
10560,11,2,0
2822,17,4,0
12318,17,5,0
13686,14,3,1
3656,52,4,1
15884,48,1,0
7195,78,1,1
736,17,7,1
1642,80,1,1
16376,93,4,1
11314,15,4,1
1434,55,1,1
13083,12,2,0
19492,35,6,0
7038,71,1,1
16116,40,3,0
3811,49,1,1
9189,96,7,1
5700,56,3,1
11924,76,4,1
4418,49,1,0
16025,17,5,1
12274,41,1,1
18171,96,3,0
4327,38,1,1
3823,74,5,1
1334,90,1,1
15089,99,3,1
8070,6,8,0
17773,50,7,1
7372,90,3,1
17119,53,8,1
5435,14,2,1
10369,59,1,1
10456,2,2,0
15451,84,1,1
16652,14,1,1
10375,62,3,0
14912,61,3,1
6829,6,1,0
2883,100,4,0
13680,54,4,1
11143,68,1,1
15400,98,6,1
16289,69,2,1
16677,7,1,0
850,15,4,1
5712,59,2,0
747,54,5,0
13064,43,1,1
2340,46,1,1
5137,27,5,0
11121,13,4,1
7170,1,3,1
8674,85,7,1
11672,16,5,1
18488,20,3,1
11422,6,1,1
12536,39,3,1
13782,42,5,0
17353,53,1,1
17122,46,5,1
17747,80,2,0
12341,14,1,1
11741,73,1,1
18836,89,4,1
5462,47,1,0
9146,49,3,1
6028,83,5,1
8485,37,1,1
10993,48,3,1
8975,30,1,1
19640,90,3,0
18432,77,3,0
6186,70,3,1
5392,60,6,0
2422,85,1,1
3719,91,1,1
9476,3,1,1
18173,15,1,1
400,12,2,0
2606,60,1,0
3954,6,3,1
9160,77,2,1
5329,41,3,0
8473,98,3,1
15434,94,2,1
503,93,3,0
12102,34,3,1
4439,3,1,0
12588,33,4,0
9507,34,6,1
5245,52,3,1
4554,85,1,1
16008,18,1,1
1100,2,1,1
377,94,6,0
15785,85,1,1
6303,4,4,1
15781,42,2,1
1299,43,5,1
15244,3,5,1
12839,14,3,1
11740,14,6,0
8334,75,5,1
11554,63,4,1
8793,66,4,1
16103,90,2,1
17889,25,1,1
3240,29,1,0
14162,100,4,1
6151,5,4,1
4449,19,4,1
16415,34,5,0
14208,34,4,1
9893,74,3,1
2903,21,5,1
2007,31,1,1
1712,29,3,1
5995,67,1,0
16166,19,6,1
11860,12,3,0
19527,98,2,1
4113,39,1,1
7316,22,3,1
14110,29,1,1
14437,17,1,0
15608,70,7,1
2936,17,3,1
13075,63,1,1
14827,69,2,0
2858,97,2,0
16029,58,1,1
15266,35,3,1
18994,89,3,0
19075,93,3,0
18330,47,4,1
6429,5,2,1
12,63,2,0
3148,38,3,0
19510,89,2,1
8552,93,5,0
10921,88,3,1
13895,42,3,1
19482,58,1,1
12800,42,3,1
16910,43,2,0
11442,61,1,1
4938,39,3,0
4939,15,3,1
13525,8,2,1
12796,95,1,0
8636,43,1,1
3234,46,1,1
2724,75,1,1
5858,13,1,0
4475,46,3,1
14904,90,4,1
1969,94,2,0
17983,56,6,1
10904,10,1,1
14493,47,2,1
16309,47,4,0
765,100,1,1
16494,23,6,1
1714,72,1,0
10727,27,4,1
17271,7,2,1
12186,71,2,1
5389,100,4,1
8302,67,2,0
13287,19,5,1
8135,61,1,1
16046,27,3,1
2075,49,3,1
16856,43,3,1
18757,41,5,1
